0;Vaulx-en-Velin La Soie;45.7612012527519;4.922205444327318
1;Laurent Bonnevay;45.76494413941756;4.909009213462454
2;Cusset;45.765792948122034;4.900584207507796
3;Flachet;45.76764182642043;4.889958439817874
4;Gratte Ciel;45.769165920874194;4.881962339776025
5;Republique - Villeurbanne;45.770552387288454;4.873647609409566
6;Charpennes;45.77062647230879;4.863087295146785
7;Massena;45.769398764986995;4.853073203915108
8;Foch;45.76895428340326;4.844377939449963
9;Hotel de Ville L. Pradel;45.767412571158616;4.836352770350264
10;Cordeliers;45.76343086471059;4.835751955467436
11;Bellecour;45.758071578023916;4.833777849544101
12;Ampere - Victor Hugo;45.75301414300169;4.829137381651156
13;Perrache;45.74851640464339;4.825775991482132