0;Gare de Venissieux;45.705851551656735;4.8876917483916085
1;Parilly;45.72011847289692;4.887609953453011
2;Mermoz Pinel;45.73103719576119;4.886882477835866
3;Laennec;45.73859017945257;4.88633687084256
4;Grange Blanche;45.743223016726105;4.878925713826428
5;Monplaisir - Lumiere;45.745883765729694;4.871156608415146
6;Sans Souci;45.74824496186336;4.864255511504519
7;Garibaldi;45.7517532214096;4.853894307615321
8;Saxe Gambetta;45.754180861278705;4.847050560452224
9;Guillotiere Gabriel Peri;45.755554698609735;4.842214057469791
10;Bellecour;45.75799551062393;4.833821864562607
11;Vieux Lyon;45.76018743840064;4.825850237364242
12;Gorge de Loup;45.766136993876025;4.80516288015672
13;Valmy;45.77471589632191;4.805651652756106
14;Gare de Vaise;45.78053484422463;4.805162880083538